   1   9   0  19   1   0   1   9   1
   2 999 999  24   0   0   1  12   2
   3  10   0  20   1   0   1   6   2
   4   6   0  19   0   1   1   9   2
   5   6   0  18   0   1   1  11   3
   6   7   0  21   0   0   1   1   1
   7  17   1  21   1   1   1 999   3
   8   9   0  19   0   0 999   1   2
   9   7   0  20   0   1   2   4   2
  10   6   0  21   0   1   1  13 999
  11 999 999  22   1   1   1   3   3
  12   6   0  21   1   1   1  12   3
  13  10   0  24   0   1   2   4   2
  14 999 999  21   0   1   1  15   3
  15  13   1  21   1   0   3   6   2
  16   8   0  21   1   0   2  14   3
  17   5   0  20   0   1   1  12   3
  18 999 999  22   0   1   4   9   1
  19   8   0  23   0   0   1  11   3
  20   8   0  25   0   0   3 999   2
  21   7   0  19   0   1 999  10   2
  22   9   0  24   1   1   1   1   2
  23 999 999  20   0   0   1   5   2
  24 999 999  22   1   1   1 999   2
  25  10   0  25   0   0   1  10   2
  26 999 999  24   0   1   3 999   2
  27 999 999  23   1   1   1   8   2
  28 999 999  23   0   1   1   8   2
  29   7   0  25   0   1   3  10   3
  30 999 999  18   1   0   3   7   2
  31   7   0  19   0   0 999  14   2
  32  11   1  22   0   0   1   3   2
  33   8   0  21   1   0   1  10   2
  34  14   1  25   0   1   1   7   2
  35   9   0  19   0   0   3 999   1
  36   9   0  24   0   1   3 999   1
  37  10   0  25   0   0   1  10   2
  38  13   1  25   1   1   1   9 999
  39 999 999  25   0   0   4   6   2
  40  10   0  20   0   1   3   2   2
  41  18   1  20   0   0   2  10   2
  42 999 999  19   1   1   1 999   2
  43 999 999  18   0   0   3   1   2
  44   6   0  19   0   0   4 999   2
  45 999 999  20   1   0   1   7   2
  46 999 999  19   0   0   3   8   2
  47  14   1  23   0   1   3  12   2
  48  13   1  24   1   0   1   9   2
  49  12   1  18   1   1   3   5   2
  50   8   0  25   0   1   1   8   2
  51  13   1  22 999   0   3   3   2
  52  20   1  22   0   0   1   3 999
  53   8   0  20   0   1   1  18   3
  54   5   0  18   0   0   1 999   3
  55  20   1  18   0   1   1   3   2
  56  15   1  22   0   0   1   8   2
  57   7   0  25   0   1 999  11   3
  58 999 999  21   1   1   1  13   3
  59  12   1  20   1   0   1   2   2
  60  18   1  18   1   1   1  11   3
  61  11   1  24   0   1   1   7   3
  62   9   0  24   1   0   3   5   1
  63   9   0  23   0   1   1  13   2
  64   3   0  21   0   1   2  10   2
  65 999 999  21   1   1   1   8 999
  66 999 999  22   1   0   2 999   2
  67  13   1  20   1   1   1   4   2
  68  11   1  24   0   0   1  19   3
  69  10   0  24   0   0   3   7   3
  70 999 999  18   0   1   3   8   2
  71  10   0  24   0   0 999  12   2
  72   4   0  21   0   1   1  12   3
  73   8   0  25   0   1   1  13   3
  74  18   1  21   0   1   1   9   2
  75  18   1  25   1   0   1   5   2
  76   8   0  21   1   1   3   9   2
  77  10   0  22 999   0   1  10   3
  78  12   1  22   1   1   1  11   2
  79 999 999  22   1   0   4   5   1
  80  17   1  20   1   1   4 999   2
  81  14   1  19   1   1   1  10   3
  82   8   0  22   0   1   3   4   2
  83   6   0  25   0   1   2  10   3
  84  10   0  24   1   0   4   7   2
  85   8   0  24   0   1   1  14   3
  86  14   1  22   1   1   3   2   1
  87   8   0  23   0   1   2   9   2
  88 999 999  24   0   1   4   8   3
  89  13   1  18   1   1   1  12   1
  90   8   0  20   1   0   1   8   2
  91 999 999  20   0   0   1 999   3
  92   6   0  25   0   0   1  12   3
  93  14   1  18   1   0   3  11   2
  94   8   0  24   0   1   1  10   3
  95  11   1  21 999   1   1  13   3
  96  13   1  21   1   1   1  11   3
  97   8   0  18   0   0   1  12   2
  98 999 999  19   1   1   2   6   2
  99  10   0  18   1   1   3  13   3
 100 999 999  20   0   1   3   6   1
 101  12   1  22   1   1   3   1 999
 102   5   0  21   0   1   1  10   3
 103   9   0  18   0   1   1   7   2
 104   6   0  20   0   0   1  12   2
 105   9   0  23   0   1   1   9   2
 106 999 999  19   0   1   3   2   2
 107 999 999  24   1   1   2   4   2
 108  11   1  21   1   1   1 999   2
 109 999 999  22   1   1   3  10   1
 110 999 999  18   1   0   1   3   2
 111 999 999  19   0   1   3   7   1
 112 999 999  18   1   0   2   7   2
 113   9   0  20   1   1   1  11   3
 114  10   0  20   1   1   1   7   2
 115 999 999  19   1   1   4   7   2
 116   8   0  23   0   1   3   3   2
 117   7   0  18   1   1   1  11   2
 118 999 999  25   0   1   1   8   2
 119 999 999  23   1   0   1  15   3
 120 999 999  25 999   1   1  12   3
 121  12   1  22   1   1   3   5   2
 122 999 999  24   0   1   3   8   2
 123   5   0  20   0   1   1   9   3
 124  11   1  24   1   0 999   6   2
 125   8   0  22   0   0   3 999   2
 126  13   1  23   0   0   4  11   3
 127   9   0  23 999   1   2   8 999
 128  15   1  25   1   0   1   8   1
 129  14   1  22 999   1   1   7   1
 130   9   0  22   1   0   1   9   2
 131   8   0  22   0   1   1 999   3
 132   8   0  20   1   0   3   3   2
 133  17   1  24   0   0   1   9   2
 134   5   0  24   0   1   2   8   3
 135  21   1  25   1   1   4   3   2
 136   9   0  19   1   1   1  11   2
 137  20   1  25   1   1   3  10   2
 138 999 999  21   0   0   1  10   2
 139   8   0  21   1   1   3   9   3
 140  10   0  23   1   0   4   9   2
 141   9   0  22   0   0   2 999   2
 142  13   1  24   1   1   3   2   2
 143  10   0  21   0   1   3   6   2
 144   9   0  25   0   0   3   5   2
 145   6   0  18   1   1   3 999   2
 146  11   1  18   1   0   1   3   1
 147 999 999  19   1   1   1 999   2
 148  11   1  24   0   0   3  11   2
 149  29   1  23   1   0   1   4 999
 150  10   0  23   0   1   1   9 999
 151  10   0  18   0   1   1   9   3
 152  20   1  25   1   1   3   7   2
 153   8   0  22   0   0   2 999   2
 154  13   1  23   0   0   1   6   2
